# ---- session start 2026-06-19T14:50:29+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:50:32.526 tasks started
2026-06-19T14:50:32.530 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:50:32.533 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:50:40.849 30.8,152.8,-62.8,45.52,962, 3
2026-06-19T14:50:40.949 32.1,152.1,-62.1,45.60,960, 3
2026-06-19T14:50:41.049 33.2,151.6,-61.6,45.08,973, 3
2026-06-19T14:50:41.149 33.9,151.7,-61.7,45.16,971, 3
2026-06-19T14:50:41.249 34.9,150.8,-60.8,44.84,979, 3
2026-06-19T14:50:41.350 35.7,150.7,-60.7,44.28,993, 3
2026-06-19T14:50:41.450 36.7,151.2,-61.2,44.08,998, 3
2026-06-19T14:50:41.550 37.3,150.7,-60.7,43.68,1008, 3
2026-06-19T14:50:41.650 37.6,151.9,-61.9,43.56,1011, 3
2026-06-19T14:50:41.749 39.1,151.5,-61.5,43.68,1008, 3
2026-06-19T14:50:41.849 41.4,150.2,-60.2,43.72,1007, 3
2026-06-19T14:50:41.949 42.3,150.3,-60.3,43.32,1017, 3
2026-06-19T14:50:42.049 43.1,150.6,-60.6,43.40,1015, 3
2026-06-19T14:50:42.149 43.7,151.5,-61.5,43.00,1025, 3
2026-06-19T14:50:42.250 44.2,152.1,-62.1,42.84,1029, 3
2026-06-19T14:50:42.350 45.9,151.4,-61.4,42.84,1029, 3
2026-06-19T14:50:42.449 47.8,150.8,-60.8,43.20,1020, 3
2026-06-19T14:50:42.555 49.5,150.1,-60.1,42.68,1033, 3
2026-06-19T14:50:42.655 51.1,149.3,-59.3,42.48,1038, 3
2026-06-19T14:50:42.755 52.3,148.4,-58.4,42.32,1042, 3
2026-06-19T14:50:42.855 53.7,148.0,-58.0,42.44,1039, 3
2026-06-19T14:50:42.955 54.5,147.7,-57.7,42.04,1049, 3
2026-06-19T14:50:43.055 55.1,148.1,-58.1,41.92,1052, 3
2026-06-19T14:50:43.155 56.8,147.8,-57.8,41.76,1056, 3
2026-06-19T14:50:43.255 58.7,147.9,-57.9,41.56,1061, 3
2026-06-19T14:50:43.354 59.3,149.3,-59.3,41.24,1069, 3
2026-06-19T14:50:43.455 59.5,150.8,-60.8,40.56,1086, 3
2026-06-19T14:50:43.555 60.4,151.2,-61.2,40.60,1085, 3
2026-06-19T14:50:43.655 62.4,150.4,-60.4,40.68,1083, 3
2026-06-19T14:50:43.755 63.0,151.0,-61.0,40.16,1096, 3
2026-06-19T14:50:43.855 64.1,150.7,-60.7,40.00,1100, 3
2026-06-19T14:50:43.955 65.4,150.9,-60.9,39.64,1109, 3
2026-06-19T14:50:44.054 66.6,150.4,-60.4,39.76,1106, 3
2026-06-19T14:50:44.155 67.1,152.3,-62.3,38.96,1126, 3
2026-06-19T14:50:44.255 68.2,153.0,-63.0,39.48,1113, 3
2026-06-19T14:50:44.355 70.0,153.1,-63.1,39.16,1121, 3
2026-06-19T14:50:44.455 71.6,152.0,-62.0,38.76,1131, 3
2026-06-19T14:50:44.559 71.8,153.0,-63.0,38.88,1128, 3
2026-06-19T14:50:44.660 73.0,152.5,-62.5,38.76,1131, 3
2026-06-19T14:50:44.760 75.0,151.8,-61.8,38.44,1139, 3
2026-06-19T14:50:44.860 77.3,150.1,-60.1,38.56,1136, 3
2026-06-19T14:50:44.960 78.2,149.4,-59.4,37.88,1153, 3
2026-06-19T14:50:45.060 78.6,149.6,-59.6,37.28,1168, 3
2026-06-19T14:50:45.160 79.0,149.5,-59.5,36.88,1178, 3
2026-06-19T14:50:45.260 79.8,149.8,-59.8,36.36,1191, 3
2026-06-19T14:50:45.360 81.8,149.5,-59.5,36.92,1177, 3
2026-06-19T14:50:45.460 84.2,149.1,-59.1,36.60,1185, 3
2026-06-19T14:50:45.560 85.8,148.5,-58.5,36.40,1190, 3
2026-06-19T14:50:45.660 87.1,148.3,-58.3,35.84,1204, 3
2026-06-19T14:50:45.760 89.6,146.7,-56.7,35.56,1211, 3
2026-06-19T14:50:45.860 91.6,145.7,-55.7,35.68,1208, 3
2026-06-19T14:50:45.960 93.2,144.8,-54.8,35.12,1222, 3
2026-06-19T14:50:46.060 94.7,143.2,-53.2,34.88,1228, 3
2026-06-19T14:50:46.160 95.4,143.0,-53.0,34.96,1226, 3
2026-06-19T14:50:46.260 96.7,142.3,-52.3,35.32,1217, 3
2026-06-19T14:50:46.360 98.7,140.3,-50.3,34.32,1242, 3
2026-06-19T14:50:46.460 99.3,139.8,-49.8,34.52,1237, 3
2026-06-19T14:50:46.565 100.3,138.8,-48.8,34.72,1232, 3
2026-06-19T14:50:46.665 100.6,139.4,-49.4,32.72,1282, 3
2026-06-19T14:50:46.765 102.0,139.5,-49.5,32.44,1289, 3
2026-06-19T14:50:46.865 104.4,138.4,-48.4,33.24,1269, 3
2026-06-19T14:50:46.965 105.3,138.7,-48.7,31.20,1320, 3
2026-06-19T14:50:47.065 106.2,137.7,-47.7,32.08,1298, 3
2026-06-19T14:50:47.165 108.0,136.3,-46.3,31.80,1305, 3
2026-06-19T14:50:47.265 108.4,136.1,-46.1,31.24,1319, 3
2026-06-19T14:50:47.365 108.9,135.1,-45.1,30.44,1339, 3
2026-06-19T14:50:47.465 110.1,134.9,-44.9,30.28,1343, 3
2026-06-19T14:50:47.565 111.6,133.0,-43.0,30.40,1340, 3
2026-06-19T14:50:47.665 113.2,131.4,-41.4,29.48,1363, 3
2026-06-19T14:50:47.765 113.6,132.1,-42.1,30.24,1344, 3
2026-06-19T14:50:47.865 113.8,132.6,-42.6,29.88,1353, 3
2026-06-19T14:50:47.965 115.1,132.1,-42.1,30.48,1338, 3
2026-06-19T14:50:48.065 116.2,132.8,-42.8,30.24,1344, 3
2026-06-19T14:50:48.165 116.9,133.0,-43.0,30.56,1336, 3
2026-06-19T14:50:48.265 118.2,132.2,-42.2,30.84,1329, 3
2026-06-19T14:50:48.365 119.1,131.3,-41.3,29.52,1362, 3
2026-06-19T14:50:48.465 119.3,131.6,-41.6,29.48,1363, 3
2026-06-19T14:50:48.570 119.8,130.7,-40.7,28.76,1381, 3
2026-06-19T14:50:48.670 120.8,129.6,-39.6,29.48,1363, 3
2026-06-19T14:50:48.770 121.9,130.0,-40.0,29.12,1372, 3
2026-06-19T14:50:48.870 122.8,130.2,-40.2,29.56,1361, 3
2026-06-19T14:50:48.970 123.1,131.5,-41.5,28.60,1385, 3
2026-06-19T14:50:49.069 123.5,132.3,-42.3,27.76,1406, 3
2026-06-19T14:50:49.169 124.9,131.9,-41.9,27.36,1416, 3
2026-06-19T14:50:49.270 127.1,130.9,-40.9,28.52,1387, 3
2026-06-19T14:50:49.370 129.1,130.1,-40.1,28.04,1399, 3
2026-06-19T14:50:49.469 130.4,128.7,-38.7,27.56,1411, 3
2026-06-19T14:50:49.569 131.4,127.3,-37.3,27.08,1423, 3
2026-06-19T14:50:49.669 132.4,126.8,-36.8,27.76,1406, 3
2026-06-19T14:50:49.769 134.2,124.4,-34.4,25.60,1460, 3
2026-06-19T14:50:49.870 134.7,123.3,-33.3,27.44,1414, 3
2026-06-19T14:50:49.970 134.2,123.6,-33.6,27.04,1424, 3
2026-06-19T14:50:50.070 134.7,122.8,-32.8,28.68,1383, 3
2026-06-19T14:50:50.170 135.4,122.8,-32.8,28.48,1388, 3
2026-06-19T14:50:50.270 135.9,120.9,-30.9,27.56,1411, 3
2026-06-19T14:50:50.370 137.1,120.6,-30.6,28.52,1387, 3
2026-06-19T14:50:50.469 139.1,119.3,-29.3,27.76,1406, 3
2026-06-19T14:50:50.575 140.1,118.2,-28.2,28.40,1390, 3
2026-06-19T14:50:50.675 139.7,118.7,-28.7,28.20,1395, 3
2026-06-19T14:50:50.775 140.5,117.6,-27.6,28.40,1390, 3
2026-06-19T14:50:50.876 140.9,116.6,-26.6,29.24,1369, 3
2026-06-19T14:50:50.975 140.6,117.0,-27.0,28.44,1389, 3
2026-06-19T14:50:51.075 140.5,117.9,-27.9,28.12,1397, 3
2026-06-19T14:50:51.175 141.3,118.5,-28.5,28.40,1390, 3
2026-06-19T14:50:51.275 143.3,118.7,-28.7,27.00,1425, 3
2026-06-19T14:50:51.375 144.7,119.7,-29.7,27.32,1417, 3
2026-06-19T14:50:51.475 146.4,119.5,-29.5,27.48,1413, 3
2026-06-19T14:50:51.575 147.2,119.9,-29.9,28.08,1398, 3
2026-06-19T14:50:51.675 147.3,120.6,-30.6,26.88,1428, 3
2026-06-19T14:50:51.775 147.7,121.4,-31.4,26.12,1447, 3
2026-06-19T14:50:51.875 148.8,121.4,-31.4,26.20,1445, 3
2026-06-19T14:50:51.976 149.7,120.6,-30.6,26.16,1446, 3
2026-06-19T14:50:52.075 149.9,120.9,-30.9,26.56,1436, 3
2026-06-19T14:50:52.175 150.3,121.5,-31.5,27.68,1408, 3
2026-06-19T14:50:52.275 152.1,120.7,-30.7,28.20,1395, 3
2026-06-19T14:50:52.375 154.3,120.8,-30.8,27.32,1417, 3
2026-06-19T14:50:52.476 155.9,121.3,-31.3,26.76,1431, 3
2026-06-19T14:50:52.580 157.1,122.0,-32.0,27.16,1421, 3
2026-06-19T14:50:52.680 158.4,121.1,-31.1,27.44,1414, 3
2026-06-19T14:50:52.780 158.8,121.0,-31.0,27.48,1413, 3
2026-06-19T14:50:52.880 159.5,121.8,-31.8,27.40,1415, 3
2026-06-19T14:50:52.980 161.5,120.0,-30.0,28.48,1388, 3
2026-06-19T14:50:53.080 161.6,120.4,-30.4,28.44,1389, 3
2026-06-19T14:50:53.180 160.2,122.6,-32.6,27.08,1423, 3
2026-06-19T14:50:53.280 159.9,124.4,-34.4,28.20,1395, 3
2026-06-19T14:50:53.380 162.8,124.3,-34.3,27.28,1418, 3
2026-06-19T14:50:53.480 165.7,124.1,-34.1,28.04,1399, 3
2026-06-19T14:50:53.580 166.6,126.1,-36.1,27.84,1404, 3
2026-06-19T14:50:53.680 165.6,127.8,-37.8,27.72,1407, 3
2026-06-19T14:50:53.780 165.8,128.4,-38.4,27.64,1409, 3
2026-06-19T14:50:53.880 167.9,127.2,-37.2,28.28,1393, 3
2026-06-19T14:50:53.980 169.8,125.5,-35.5,28.72,1382, 3
2026-06-19T14:50:54.080 169.7,125.3,-35.3,27.84,1404, 3
2026-06-19T14:50:54.180 169.4,125.9,-35.9,28.32,1392, 3
2026-06-19T14:50:54.280 170.4,125.5,-35.5,27.88,1403, 3
2026-06-19T14:50:54.380 172.5,125.2,-35.2,29.12,1372, 3
2026-06-19T14:50:54.480 174.1,126.0,-36.0,27.44,1414, 3
2026-06-19T14:50:54.585 174.7,128.3,-38.3,29.08,1373, 3
2026-06-19T14:50:54.685 175.0,130.8,-40.8,27.64,1409, 3
2026-06-19T14:50:54.785 177.2,130.8,-40.8,27.68,1408, 3
2026-06-19T14:50:54.884 179.5,128.9,-38.9,28.60,1385, 3
2026-06-19T14:50:54.985 182.0,127.7,-37.7,28.44,1389, 3
2026-06-19T14:50:55.085 183.6,127.4,-37.4,28.12,1397, 3
2026-06-19T14:50:55.185 183.4,127.3,-37.3,27.76,1406, 3
2026-06-19T14:50:55.285 182.1,129.1,-39.1,27.88,1403, 3
2026-06-19T14:50:55.385 182.2,128.6,-38.6,28.84,1379, 3
2026-06-19T14:50:55.485 182.7,127.3,-37.3,26.80,1430, 3
2026-06-19T14:50:55.585 182.8,126.9,-36.9,27.92,1402, 3
2026-06-19T14:50:55.684 183.7,127.1,-37.1,28.60,1385, 3
2026-06-19T14:50:55.784 184.1,127.2,-37.2,28.96,1376, 3
2026-06-19T14:50:55.885 184.2,128.1,-38.1,28.36,1391, 3
2026-06-19T14:50:55.985 184.7,127.2,-37.2,27.84,1404, 3
2026-06-19T14:50:56.085 184.7,127.4,-37.4,27.88,1403, 3
2026-06-19T14:50:56.184 184.7,128.1,-38.1,26.80,1430, 3
2026-06-19T14:50:56.285 186.2,128.5,-38.5,25.96,1451, 3
2026-06-19T14:50:56.385 187.8,128.7,-38.7,26.40,1440, 3
2026-06-19T14:50:56.485 189.7,129.6,-39.6,25.48,1463, 3
2026-06-19T14:50:56.590 190.6,131.0,-41.0,23.00,1525, 3
2026-06-19T14:50:56.690 190.8,134.4,-44.4,24.00,1500, 3
2026-06-19T14:50:56.790 192.5,136.8,-46.8,25.12,1472, 3
