# ---- session start 2026-06-19T14:00:10+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:00:11.949 BOOT
2026-06-19T14:00:13.450  
2026-06-19T14:00:13.453  
2026-06-19T14:00:13.455 >> CodeCell C6 v2.0.6 Booting.. 
2026-06-19T14:00:13.767 >> Initializing Sensors: Compass-Free Rotation Sensing Activated | 
2026-06-19T14:00:14.022 >> Reading Sensors:  Roll: 99.62°, Pitch: -98.40°, Yaw: -102.30° |
2026-06-19T14:00:14.025 >> Sampling Rate: 10Hz
2026-06-19T14:00:14.027 >> Power Status: Running from USB Power
2026-06-19T14:00:22.031 tasks started
2026-06-19T14:00:22.034 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:00:22.036 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:00:29.452 32.9,180.0,-97.4,43.48,1013, 3
2026-06-19T14:00:29.551 32.2,180.0,-98.5,43.44,1014, 3
2026-06-19T14:00:29.652 32.5,180.0,-97.7,43.36,1016, 3
2026-06-19T14:00:29.752 34.6,180.0,-98.2,43.76,1006, 3
2026-06-19T14:00:29.851 36.0,180.0,-97.7,43.72,1007, 3
2026-06-19T14:00:29.951 38.4,180.0,-97.2,43.52,1012, 3
2026-06-19T14:00:30.056 41.8,180.0,-99.0,43.24,1019, 3
2026-06-19T14:00:30.157 42.4,180.0,-99.2,43.80,1005, 3
2026-06-19T14:00:30.257 41.9,180.0,-98.4,44.00,1000, 3
2026-06-19T14:00:30.357 42.2,180.0,-97.4,43.72,1007, 3
2026-06-19T14:00:30.457 41.9,180.0,-98.3,43.84,1004, 3
2026-06-19T14:00:30.556 42.9,180.0,-97.1,44.36,991, 3
2026-06-19T14:00:30.656 44.6,180.0,-97.2,44.92,977, 3
2026-06-19T14:00:30.757 46.5,180.0,-96.2,45.60,960, 3
2026-06-19T14:00:30.856 49.1,180.0,-96.3,45.40,965, 3
2026-06-19T14:00:30.957 50.8,180.0,-97.8,45.44,964, 3
2026-06-19T14:00:31.056 51.0,180.0,-96.9,46.00,950, 3
2026-06-19T14:00:31.157 52.2,180.0,-96.4,45.20,970, 3
2026-06-19T14:00:31.257 54.1,180.0,-96.3,45.40,965, 3
2026-06-19T14:00:31.357 53.8,180.0,-96.1,46.24,944, 3
2026-06-19T14:00:31.457 55.8,180.0,-95.5,45.64,959, 3
2026-06-19T14:00:31.556 58.7,180.0,-96.9,45.60,960, 3
2026-06-19T14:00:31.657 60.5,180.0,-96.5,46.20,945, 3
2026-06-19T14:00:31.757 62.4,180.0,-97.6,46.32,942, 3
2026-06-19T14:00:31.856 63.6,180.0,-97.8,46.60,935, 3
2026-06-19T14:00:31.956 64.8,180.0,-96.7,46.48,938, 3
2026-06-19T14:00:32.061 66.4,180.0,-96.0,46.64,934, 3
2026-06-19T14:00:32.162 65.5,180.0,-96.6,47.20,920, 3
2026-06-19T14:00:32.261 65.9,180.0,-95.1,47.08,923, 3
2026-06-19T14:00:32.362 68.2,180.0,-95.3,46.92,927, 3
2026-06-19T14:00:32.461 69.9,180.0,-94.6,47.28,918, 3
2026-06-19T14:00:32.561 70.9,180.0,-94.4,47.28,918, 3
2026-06-19T14:00:32.661 74.2,180.0,-95.4,47.28,918, 3
2026-06-19T14:00:32.762 76.1,180.0,-95.6,47.64,909, 3
2026-06-19T14:00:32.861 76.4,180.0,-94.4,47.80,905, 3
2026-06-19T14:00:32.961 77.6,180.0,-93.9,47.72,907, 3
2026-06-19T14:00:33.060 78.5,180.0,-94.5,48.12,897, 3
2026-06-19T14:00:33.162 77.9,180.0,-94.3,48.00,900, 3
2026-06-19T14:00:33.262 78.7,180.0,-94.4,48.04,899, 3
2026-06-19T14:00:33.362 79.9,180.0,-94.2,47.96,901, 3
2026-06-19T14:00:33.461 81.4,180.0,-93.5,47.80,905, 3
2026-06-19T14:00:33.562 85.4,180.0,-93.8,48.48,888, 3
