# ---- session start 2026-06-19T13:53:18+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T13:53:18.323 Compass-Free Rotation Sensing Activated | 
2026-06-19T13:53:18.578 >> Reading Sensors:  Roll: 96.53°, Pitch: -96.54°, Yaw: -99.53° |
2026-06-19T13:53:18.580 >> Sampling Rate: 10Hz
2026-06-19T13:53:18.583 >> Power Status: Running from USB Power
2026-06-19T13:53:26.587 tasks started
2026-06-19T13:53:26.590 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T13:53:26.592 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T13:53:34.308 76.9,180.0,-99.7,44.08,998, 3
2026-06-19T13:53:34.408 78.1,180.0,-99.4,44.16,996, 3
2026-06-19T13:53:34.508 80.0,180.0,-98.3,44.20,995, 3
2026-06-19T13:53:34.612 82.7,180.0,-98.6,43.88,1003, 3
2026-06-19T13:53:34.712 83.6,180.0,-98.8,43.84,1004, 3
2026-06-19T13:53:34.812 82.4,180.0,-98.9,43.60,1010, 3
2026-06-19T13:53:34.912 84.0,180.0,-97.3,43.76,1006, 3
2026-06-19T13:53:35.012 84.9,180.0,-97.9,43.04,1024, 3
2026-06-19T13:53:35.112 85.1,180.0,-98.1,43.36,1016, 3
2026-06-19T13:53:35.212 85.9,180.0,-98.2,43.16,1021, 3
2026-06-19T13:53:35.313 87.4,180.0,-98.1,42.76,1031, 3
2026-06-19T13:53:35.412 89.8,180.0,-97.5,42.76,1031, 3
2026-06-19T13:53:35.512 92.7,180.0,-97.3,42.48,1038, 3
2026-06-19T13:53:35.612 94.8,180.0,-97.8,42.36,1041, 3
2026-06-19T13:53:35.712 96.9,180.0,-98.9,42.00,1050, 3
2026-06-19T13:53:35.813 96.5,180.0,-99.5,41.84,1054, 3
2026-06-19T13:53:35.912 97.3,180.0,-98.1,42.32,1042, 3
2026-06-19T13:53:36.012 98.2,180.0,-98.7,42.32,1042, 3
2026-06-19T13:53:36.112 100.1,180.0,-98.3,42.44,1039, 3
2026-06-19T13:53:36.212 102.3,180.0,-98.3,42.52,1037, 3
2026-06-19T13:53:36.313 104.5,180.0,-98.5,42.12,1047, 3
2026-06-19T13:53:36.413 106.1,180.0,-98.0,41.92,1052, 3
2026-06-19T13:53:36.512 108.2,180.0,-98.0,41.56,1061, 3
2026-06-19T13:53:36.617 110.0,180.0,-97.9,42.04,1049, 3
2026-06-19T13:53:36.718 109.9,180.0,-98.8,41.84,1054, 3
2026-06-19T13:53:36.817 109.5,180.0,-98.2,42.44,1039, 3
2026-06-19T13:53:36.917 110.9,180.0,-98.7,42.08,1048, 3
2026-06-19T13:53:37.018 111.9,180.0,-99.8,42.56,1036, 3
2026-06-19T13:53:37.118 113.1,180.0,-99.3,42.60,1035, 3
2026-06-19T13:53:37.217 114.6,180.0,-99.2,41.64,1059, 3
2026-06-19T13:53:37.318 117.1,180.0,-98.5,41.92,1052, 3
2026-06-19T13:53:37.417 120.1,180.0,-98.7,43.04,1024, 3
2026-06-19T13:53:37.518 122.0,180.0,-98.6,43.04,1024, 3
2026-06-19T13:53:37.617 123.4,180.0,-98.7,42.12,1047, 3
2026-06-19T13:53:37.717 123.9,180.0,-98.8,42.52,1037, 3
2026-06-19T13:53:37.817 124.6,180.0,-98.2,42.48,1038, 3
2026-06-19T13:53:37.917 125.5,180.0,-98.5,42.24,1044, 3
2026-06-19T13:53:38.018 127.0,180.0,-98.4,42.24,1044, 3
2026-06-19T13:53:38.117 129.0,180.0,-98.6,42.36,1041, 3
2026-06-19T13:53:38.217 131.6,180.0,-97.8,42.20,1045, 3
2026-06-19T13:53:38.318 134.7,180.0,-97.5,42.60,1035, 3
2026-06-19T13:53:38.418 137.6,180.0,-97.8,42.60,1035, 3
2026-06-19T13:53:38.518 139.2,180.0,-97.6,42.52,1037, 3
2026-06-19T13:53:38.623 138.8,180.0,-98.3,42.40,1040, 3
2026-06-19T13:53:38.722 138.2,180.0,-99.0,42.44,1039, 3
2026-06-19T13:53:38.823 138.4,180.0,-99.1,42.32,1042, 3
2026-06-19T13:53:38.922 139.1,180.0,-98.6,41.96,1051, 3
2026-06-19T13:53:39.022 140.7,180.0,-98.5,41.64,1059, 3
2026-06-19T13:53:39.122 142.0,180.0,-98.8,41.52,1062, 3
2026-06-19T13:53:39.223 143.9,180.0,-98.0,42.08,1048, 3
2026-06-19T13:53:39.322 147.5,180.0,-97.5,40.76,1081, 3
2026-06-19T13:53:39.423 149.9,180.0,-98.6,41.00,1075, 3
2026-06-19T13:53:39.523 150.1,180.0,-99.2,40.48,1088, 3
2026-06-19T13:53:39.623 149.0,180.0,-99.4,40.56,1086, 3
2026-06-19T13:53:39.722 149.7,180.0,-99.0,40.44,1089, 3
2026-06-19T13:53:39.822 150.9,180.0,-98.6,40.68,1083, 3
2026-06-19T13:53:39.922 151.7,180.0,-98.5,41.64,1059, 3
2026-06-19T13:53:40.023 152.3,180.0,-98.3,40.76,1081, 3
2026-06-19T13:53:40.122 153.6,180.0,-98.0,40.72,1082, 3
2026-06-19T13:53:40.222 156.2,180.0,-97.8,40.56,1086, 3
2026-06-19T13:53:40.322 158.6,180.0,-98.8,39.88,1103, 3
2026-06-19T13:53:40.423 159.6,180.0,-99.0,39.24,1119, 3
2026-06-19T13:53:40.522 160.2,180.0,-100.1,39.64,1109, 3
2026-06-19T13:53:40.628 161.2,180.0,-100.1,38.52,1137, 3
2026-06-19T13:53:40.728 160.9,180.0,-101.0,38.40,1140, 3
2026-06-19T13:53:40.828 160.1,180.0,-100.5,38.16,1146, 3
2026-06-19T13:53:40.928 160.3,180.0,-99.5,38.64,1134, 3
2026-06-19T13:53:41.028 161.3,180.0,-99.5,38.28,1143, 3
2026-06-19T13:53:41.128 162.9,180.0,-98.8,38.24,1144, 3
2026-06-19T13:53:41.227 165.6,180.0,-98.2,37.36,1166, 3
2026-06-19T13:53:41.328 168.8,180.0,-98.4,37.48,1163, 3
2026-06-19T13:53:41.428 171.1,180.0,-98.3,37.28,1168, 3
2026-06-19T13:53:41.528 172.1,180.0,-98.7,37.16,1171, 3
2026-06-19T13:53:41.627 171.9,180.0,-98.8,36.76,1181, 3
2026-06-19T13:53:41.728 172.8,180.0,-99.1,36.56,1186, 3
2026-06-19T13:53:41.828 173.5,180.0,-99.4,36.44,1189, 3
2026-06-19T13:53:41.928 173.0,180.0,-98.6,36.28,1193, 3
2026-06-19T13:53:42.028 173.0,180.0,-97.8,36.44,1189, 3
2026-06-19T13:53:42.128 174.9,180.0,-97.9,36.96,1176, 3
2026-06-19T13:53:42.227 176.7,180.0,-97.5,35.20,1220, 3
2026-06-19T13:53:42.328 179.3,180.0,-96.3,36.12,1197, 3
2026-06-19T13:53:42.427 181.5,180.0,-96.5,34.80,1230, 3
2026-06-19T13:53:42.528 183.7,180.0,-96.1,33.96,1251, 3
2026-06-19T13:53:42.632 185.8,180.0,-95.9,34.56,1236, 3
2026-06-19T13:53:42.733 186.2,180.0,-96.4,33.64,1259, 3
2026-06-19T13:53:42.833 187.4,180.0,-95.9,35.44,1214, 3
2026-06-19T13:53:42.932 187.7,180.0,-95.9,34.40,1240, 3
2026-06-19T13:53:43.034 187.4,180.0,-95.1,35.12,1222, 3
2026-06-19T13:53:43.133 187.4,180.0,-95.3,36.36,1191, 3
2026-06-19T13:53:43.232 187.7,180.0,-94.8,34.80,1230, 3
2026-06-19T13:53:43.333 187.8,180.0,-94.3,34.64,1234, 3
2026-06-19T13:53:43.432 187.7,180.0,-94.5,33.96,1251, 3
2026-06-19T13:53:43.533 188.2,180.0,-94.1,34.28,1243, 3
2026-06-19T13:53:43.633 188.5,180.0,-94.2,34.52,1237, 3
2026-06-19T13:53:43.732 188.8,180.0,-93.8,35.16,1221, 3
2026-06-19T13:53:43.833 189.2,180.0,-93.3,34.76,1231, 3
2026-06-19T13:53:43.933 189.6,180.0,-93.1,35.52,1212, 3
2026-06-19T13:53:44.033 189.8,180.0,-92.8,35.64,1209, 3
2026-06-19T13:53:44.133 189.9,180.0,-92.7,34.40,1240, 3
2026-06-19T13:53:44.233 189.9,180.0,-92.8,33.72,1257, 3
2026-06-19T13:53:44.332 189.9,180.0,-93.2,34.12,1247, 3
2026-06-19T13:53:44.432 189.9,180.0,-93.3,34.76,1231, 3
2026-06-19T13:53:44.532 189.9,180.0,-93.3,35.04,1224, 3
2026-06-19T13:53:44.637 189.9,180.0,-93.3,34.40,1240, 3
2026-06-19T13:53:44.738 189.8,180.0,-93.5,35.04,1224, 3
2026-06-19T13:53:44.838 189.5,180.0,-93.6,35.00,1225, 3
2026-06-19T13:53:44.938 189.3,180.0,-93.6,35.40,1215, 3
2026-06-19T13:53:45.037 189.1,180.0,-93.6,34.84,1229, 3
2026-06-19T13:53:45.138 188.7,180.0,-93.6,34.44,1239, 3
2026-06-19T13:53:45.238 187.9,180.0,-93.8,34.92,1227, 3
2026-06-19T13:53:45.337 186.8,180.0,-94.5,34.72,1232, 3
2026-06-19T13:53:45.438 185.7,180.0,-95.4,33.56,1261, 3
2026-06-19T13:53:45.538 184.8,180.0,-96.0,34.60,1235, 3
2026-06-19T13:53:45.637 183.9,180.0,-96.6,35.24,1219, 3
2026-06-19T13:53:45.738 183.4,180.0,-97.4,34.40,1240, 3
2026-06-19T13:53:45.838 182.8,180.0,-98.7,34.40,1240, 3
2026-06-19T13:53:45.938 182.1,180.0,-98.2,35.40,1215, 3
2026-06-19T13:53:46.038 182.2,180.0,-98.6,36.08,1198, 3
2026-06-19T13:53:46.138 183.4,180.0,-100.0,35.76,1206, 3
2026-06-19T13:53:46.238 185.0,180.0,-99.8,35.44,1214, 3
2026-06-19T13:53:46.338 185.9,180.0,-98.8,35.04,1224, 3
2026-06-19T13:53:46.438 186.9,180.0,-96.3,35.96,1201, 3
# ---- session end   2026-06-19T13:53:46+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
