# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:15:51.828 56.2,180.0,-93.9,46.28,943, 3
2026-06-19T14:15:51.928 56.3,180.0,-93.4,46.72,932, 3
2026-06-19T14:15:52.027 57.8,180.0,-92.7,46.48,938, 3
2026-06-19T14:15:52.128 59.0,180.0,-92.8,46.28,943, 3
2026-06-19T14:15:52.228 60.9,180.0,-92.4,46.40,940, 3
2026-06-19T14:15:52.328 61.3,180.0,-92.8,46.64,934, 3
2026-06-19T14:15:52.428 62.4,180.0,-91.4,46.20,945, 3
2026-06-19T14:15:52.528 61.5,180.0,-91.6,46.12,947, 3
2026-06-19T14:15:52.628 61.1,180.0,-90.7,45.92,952, 3
2026-06-19T14:15:52.728 59.1,180.0,-91.9,46.08,948, 3
2026-06-19T14:15:52.828 58.7,180.0,-92.2,45.76,956, 3
2026-06-19T14:15:52.928 59.6,180.0,-92.3,45.68,958, 3
2026-06-19T14:15:53.028 61.8,180.0,-92.7,45.76,956, 3
2026-06-19T14:15:53.128 65.6,180.0,-92.7,46.16,946, 3
2026-06-19T14:15:53.228 68.2,180.0,-93.2,45.64,959, 3
2026-06-19T14:15:53.328 71.0,180.0,-93.1,45.48,963, 3
2026-06-19T14:15:53.428 71.9,180.0,-94.0,45.16,971, 3
2026-06-19T14:15:53.533 73.5,180.0,-93.6,45.52,962, 3
2026-06-19T14:15:53.634 73.5,180.0,-94.3,45.52,962, 3
2026-06-19T14:15:53.733 74.6,180.0,-93.5,45.96,951, 3
2026-06-19T14:15:53.833 74.5,180.0,-94.0,45.40,965, 3
2026-06-19T14:15:53.932 76.3,180.0,-93.0,45.00,975, 3
2026-06-19T14:15:54.033 78.6,180.0,-92.5,45.36,966, 3
2026-06-19T14:15:54.133 81.6,180.0,-91.9,44.96,976, 3
2026-06-19T14:15:54.233 85.1,180.0,-91.4,45.32,967, 3
2026-06-19T14:15:54.333 88.9,180.0,-91.0,45.00,975, 3
2026-06-19T14:15:54.433 91.0,180.0,-92.0,45.08,973, 3
2026-06-19T14:15:54.533 93.1,180.0,-92.5,45.12,972, 3
2026-06-19T14:15:54.633 94.0,180.0,-93.5,45.16,971, 3
2026-06-19T14:15:54.733 95.1,180.0,-93.6,44.88,978, 3
2026-06-19T14:15:54.834 96.0,180.0,-93.5,44.80,980, 3
2026-06-19T14:15:54.933 97.0,180.0,-93.5,45.48,963, 3
2026-06-19T14:15:55.033 98.8,180.0,-93.2,45.44,964, 3
2026-06-19T14:15:55.133 101.8,180.0,-92.1,44.96,976, 3
2026-06-19T14:15:55.234 104.8,180.0,-91.4,45.16,971, 3
2026-06-19T14:15:55.333 107.1,180.0,-91.1,45.16,971, 3
2026-06-19T14:15:55.433 107.9,180.0,-92.0,44.92,977, 3
2026-06-19T14:15:55.538 109.4,180.0,-92.1,45.40,965, 3
2026-06-19T14:15:55.638 110.3,180.0,-93.1,46.08,948, 3
2026-06-19T14:15:55.738 111.9,180.0,-92.8,45.60,960, 3
