phi,theta,elev,mv,dbm,cal
57.1053,67.8526,22.1474,826,-23.2273,3
57.6213,67.8228,22.1772,823,-23.0909,3
58.5607,67.7906,22.2094,814,-22.6818,3
59.9119,67.5181,22.4819,810,-22.5000,3
61.5020,67.2394,22.7606,807,-22.3636,3
63.5736,66.8689,23.1311,808,-22.4091,3
66.1473,66.4872,23.5128,815,-22.7273,3
69.2022,65.9345,24.0655,821,-23.0000,3
70.2755,65.1049,24.8951,822,-23.0455,3
69.9529,64.2995,25.7005,822,-23.0455,3
68.8886,64.5894,25.4106,821,-23.0000,3
68.1316,64.6202,25.3798,822,-23.0455,3
67.3978,65.2795,24.7205,824,-23.1364,3
67.1535,66.0331,23.9668,825,-23.1818,3
67.0083,66.1534,23.8466,828,-23.3182,3
66.9602,66.4943,23.5057,829,-23.3636,3
67.4070,66.6271,23.3729,831,-23.4545,3
68.7846,66.6371,23.3629,829,-23.3636,3
70.3329,65.7589,24.2411,829,-23.3636,3
72.1961,64.6811,25.3189,831,-23.4545,3
73.4418,65.2376,24.7624,837,-23.7273,3
74.0237,65.0754,24.9246,846,-24.1364,3
74.3652,65.2907,24.7093,851,-24.3636,3
74.4019,65.1392,24.8608,856,-24.5909,3
74.2999,64.8314,25.1686,854,-24.5000,3
73.3572,65.0666,24.9334,854,-24.5000,3
72.4581,64.9162,25.0838,856,-24.5909,3
71.6340,65.0110,24.9890,853,-24.4545,3
71.2038,64.9724,25.0276,850,-24.3182,3
71.1650,64.4610,25.5390,850,-24.3182,3
71.4572,64.3285,25.6715,852,-24.4091,3
72.4783,64.5371,25.4629,856,-24.5909,3
74.4823,63.5793,26.4207,853,-24.4545,3
76.3990,63.3253,26.6747,860,-24.7727,3
78.4521,63.1066,26.8934,872,-25.3182,3
80.0539,62.9348,27.0652,888,-26.0455,3
81.5804,62.7110,27.2890,896,-26.4091,3
82.9965,62.2471,27.7529,906,-26.8636,3
83.1101,62.4331,27.5669,915,-27.2727,3
82.3807,62.4083,27.5917,925,-27.7273,3
81.7640,62.1220,27.8780,923,-27.6364,3
81.6064,61.5704,28.4296,925,-27.7273,3
81.7765,61.8771,28.1229,928,-27.8636,3
83.1534,61.4405,28.5595,930,-27.9545,3
84.7559,62.1509,27.8491,937,-28.2727,3
86.7607,62.4206,27.5794,943,-28.5455,3
88.9836,62.8281,27.1719,948,-28.7727,3
91.5737,62.9649,27.0351,956,-29.1364,3
94.6178,62.0388,27.9612,965,-29.5455,3
96.5514,62.2987,27.7013,976,-30.0455,3
96.9131,62.8487,27.1513,992,-30.7727,3
96.8456,62.6424,27.3576,1002,-31.2273,3
96.2701,62.5261,27.4739,1004,-31.3182,3
95.6096,62.4147,27.5853,1008,-31.5000,3
95.3615,62.8272,27.1728,1019,-32.0000,3
95.6638,62.7909,27.2091,1018,-31.9545,3
96.8304,62.5062,27.4938,1018,-31.9545,3
98.3956,62.0601,27.9399,1018,-31.9545,3
99.9188,62.3428,27.6572,1035,-32.7273,3
101.9622,62.2447,27.7553,1058,-33.7727,3
104.4882,61.5540,28.4460,1076,-34.5909,3
106.5878,61.2844,28.7156,1088,-35.1364,3
107.6289,60.9334,29.0666,1099,-35.6364,3
107.8978,60.6456,29.3544,1090,-35.2273,3
108.2553,60.8224,29.1776,1090,-35.2273,3
108.0934,60.9787,29.0213,1090,-35.2273,3
107.6239,61.1771,28.8229,1085,-35.0000,3
108.0679,61.2946,28.7054,1076,-34.5909,3
108.2472,61.9999,28.0001,1083,-34.9091,3
109.6413,62.6519,27.3481,1097,-35.5455,3
111.9528,62.5142,27.4858,1067,-34.1818,3
114.2293,62.2300,27.7700,1117,-36.4545,3
116.6411,62.1909,27.8091,1144,-37.6818,3
118.7959,62.1422,27.8578,1161,-38.4545,3
119.8176,61.7997,28.2003,1198,-40.1364,3
120.1426,61.8433,28.1567,1161,-38.4545,3
120.0387,62.1895,27.8105,1168,-38.7727,3
119.8167,62.7069,27.2931,1216,-40.9545,3
119.6100,62.8635,27.1365,1160,-38.4091,3
119.6758,63.9124,26.0876,1187,-39.6364,3
120.5367,64.0190,25.9810,1184,-39.5000,3
121.3723,64.4998,25.5002,1184,-39.5000,3
122.5152,64.7612,25.2388,1130,-37.0455,3
123.9656,65.0576,24.9424,1157,-38.2727,3
126.3034,64.6333,25.3667,1143,-37.6364,3
128.8165,64.3221,25.6779,1149,-37.9091,3
130.7703,64.4227,25.5773,1138,-37.4091,3
131.8076,64.8055,25.1945,1096,-35.5000,3
131.8620,64.9969,25.0031,1078,-34.6818,3
131.0872,65.0174,24.9826,1068,-34.2273,3
130.3659,65.2681,24.7319,1065,-34.0909,3
129.4634,65.0940,24.9060,1059,-33.8182,3
128.8404,65.4024,24.5976,1056,-33.6818,3
129.8383,65.2536,24.7464,1045,-33.1818,3
130.8842,65.3693,24.6307,1037,-32.8182,3
132.2058,65.7541,24.2459,1031,-32.5455,3
133.9549,65.6025,24.3975,1033,-32.6364,3
136.4834,64.6513,25.3487,1050,-33.4091,3
138.1829,64.1566,25.8434,1071,-34.3636,3
139.5468,64.5293,25.4707,1099,-35.6364,3
140.1843,64.8484,25.1516,1125,-36.8182,3
140.5138,65.2323,24.7677,1131,-37.0909,3
140.3910,65.4723,24.5277,1133,-37.1818,3
140.4391,65.2056,24.7944,1140,-37.5000,3
140.0329,65.6057,24.3943,1148,-37.8636,3
140.1041,66.1880,23.8120,1159,-38.3636,3
140.5886,66.3747,23.6253,1191,-39.8182,3
141.3437,66.4636,23.5364,1214,-40.8636,3
142.4057,66.5179,23.4821,1215,-40.9091,3
143.7729,66.5654,23.4346,1207,-40.5455,3
145.6551,65.9660,24.0340,1221,-41.1818,3
147.6684,65.1514,24.8486,1251,-42.5455,3
148.8118,65.6336,24.3664,1265,-43.1818,3
148.9905,65.8175,24.1825,1236,-41.8636,3
148.6998,65.6766,24.3234,1215,-40.9091,3
148.4369,65.8669,24.1331,1178,-39.2273,3
148.3798,65.8436,24.1564,1170,-38.8636,3
148.1670,66.7246,23.2754,1178,-39.2273,3
148.4458,67.0329,22.9671,1168,-38.7727,3
148.7255,67.6643,22.3357,1237,-41.9091,3
149.2103,67.5447,22.4553,1190,-39.7727,3
150.0079,67.0394,22.9606,1148,-37.8636,3
151.4746,66.7794,23.2206,1118,-36.5000,3
153.9400,66.0440,23.9560,1104,-35.8636,3
156.2569,65.4486,24.5514,1090,-35.2273,3
158.2087,65.0350,24.9649,1088,-35.1364,3
159.5859,65.3901,24.6099,1079,-34.7273,3
160.0762,65.2076,24.7924,1080,-34.7727,3
160.0191,65.5690,24.4310,1074,-34.5000,3
160.1250,65.4508,24.5492,1074,-34.5000,3
160.7334,65.3490,24.6510,1080,-34.7727,3
161.3454,65.7843,24.2157,1075,-34.5455,3
162.1076,65.3622,24.6378,1075,-34.5455,3
163.0799,65.2784,24.7216,1075,-34.5455,3
164.8014,65.0509,24.9491,1071,-34.3636,3
166.5664,65.1851,24.8149,1073,-34.4545,3
168.4560,65.3400,24.6600,1061,-33.9091,3
170.6029,64.8716,25.1284,1056,-33.6818,3
172.1379,64.9184,25.0815,1054,-33.5909,3
172.7824,65.3953,24.6047,1047,-33.2727,3
173.3714,65.4912,24.5088,1044,-33.1364,3
173.5294,65.5459,24.4541,1045,-33.1818,3
173.4274,65.8848,24.1152,1046,-33.2273,3
173.4576,65.9257,24.0743,1044,-33.1364,3
173.4544,66.3896,23.6104,1043,-33.0909,3
173.9735,66.2812,23.7188,1039,-32.9091,3
175.1695,65.7295,24.2705,1037,-32.8182,3
176.7430,65.7234,24.2766,1032,-32.5909,3
178.2227,65.5269,24.4731,1032,-32.5909,3
180.1485,65.6898,24.3102,1041,-33.0000,3
183.0192,65.1534,24.8466,1064,-34.0455,3
184.0904,65.1349,24.8651,1090,-35.2273,3
184.9157,65.2509,24.7491,1100,-35.6818,3
185.2581,65.3606,24.6394,1100,-35.6818,3
185.1756,65.2694,24.7306,1104,-35.8636,3
185.3394,65.4291,24.5709,1111,-36.1818,3
185.9409,65.2617,24.7383,1110,-36.1364,3
186.2050,65.7917,24.2083,1096,-35.5000,3
186.8970,65.5524,24.4476,1112,-36.2273,3
187.3505,65.8832,24.1168,1114,-36.3182,3
189.5302,66.1626,23.8374,1148,-37.8636,3
191.6525,66.1021,23.8979,1148,-37.8636,3
193.5625,65.5775,24.4225,1157,-38.2727,3
195.1313,65.0860,24.9140,1178,-39.2273,3
195.7756,65.2897,24.7103,1194,-39.9545,3
196.0044,65.2872,24.7128,1145,-37.7273,3
195.5586,65.5600,24.4400,1194,-39.9545,3
195.3071,65.6777,24.3223,1204,-40.4091,3
195.4992,65.1604,24.8396,1203,-40.3636,3
195.6879,65.4931,24.5069,1209,-40.6364,3
196.2575,65.7618,24.2382,1209,-40.6364,3
197.4700,66.2102,23.7898,1211,-40.7273,3
198.6461,66.3352,23.6648,1215,-40.9091,3
200.4377,66.3555,23.6445,1231,-41.6364,3
202.5050,65.6947,24.3053,1201,-40.2727,3
204.9650,65.5271,24.4729,1159,-38.3636,3
205.5507,65.4018,24.5982,1152,-38.0455,3
205.3681,64.9811,25.0189,1147,-37.8182,3
204.7757,64.8312,25.1688,1196,-40.0455,3
204.4045,64.7801,25.2199,1132,-37.1364,3
203.8811,64.9361,25.0639,1167,-38.7273,3
203.4934,65.3301,24.6699,1156,-38.2273,3
203.4980,65.4180,24.5820,1110,-36.1364,3
203.6913,65.6122,24.3878,1088,-35.1364,3
204.6833,65.2932,24.7068,1081,-34.8182,3
205.1998,65.3443,24.6557,1074,-34.5000,3
206.6863,64.8742,25.1258,1034,-32.6818,3
208.6540,64.2038,25.7961,1035,-32.7273,3
210.3601,63.6955,26.3045,1021,-32.0909,3
211.6128,63.7717,26.2283,1006,-31.4091,3
212.9665,62.9636,27.0364,1007,-31.4545,3
213.2781,63.1455,26.8545,1014,-31.7727,3
213.3815,63.7367,26.2633,1004,-31.3182,3
213.3017,63.6089,26.3911,1005,-31.3636,3
213.3225,63.8216,26.1784,1003,-31.2727,3
213.7099,63.1824,26.8176,1014,-31.7727,3
213.6881,63.0027,26.9973,1013,-31.7273,3
