phi,theta,elev,mv,dbm,cal
0.7040,72.4534,17.5466,926,-27.7727,3
0.6493,72.5454,17.4546,927,-27.8182,3
0.4130,72.4608,17.5392,927,-27.8182,3
0.3980,72.6423,17.3577,927,-27.8182,3
0.5131,72.5500,17.4500,929,-27.9091,3
0.5362,72.6866,17.3134,927,-27.8182,3
0.5621,72.6384,17.3616,928,-27.8636,3
0.4311,72.6317,17.3683,927,-27.8182,3
359.9246,72.5005,17.4995,929,-27.9091,3
359.3158,72.5842,17.4158,931,-28.0000,3
359.0688,72.5362,17.4638,929,-27.9091,3
358.7558,72.2896,17.7104,928,-27.8636,3
358.2962,72.1665,17.8335,929,-27.9091,3
357.9585,71.8993,18.1007,929,-27.9091,3
357.4917,71.6848,18.3152,929,-27.9091,3
356.6245,71.6548,18.3452,931,-28.0000,3
355.6853,71.6204,18.3796,930,-27.9545,3
354.8329,71.4639,18.5361,931,-28.0000,3
353.5301,71.8358,18.1642,929,-27.9091,3
352.1444,72.0030,17.9970,931,-28.0000,3
351.0312,71.7137,18.2863,930,-27.9545,3
350.4441,71.5921,18.4079,931,-28.0000,3
349.8752,71.4688,18.5312,929,-27.9091,3
349.7586,71.6638,18.3361,926,-27.7727,3
349.6067,71.7814,18.2186,926,-27.7727,3
348.8306,72.1492,17.8508,926,-27.7727,3
348.3764,72.8706,17.1294,924,-27.6818,3
348.3630,72.7256,17.2744,925,-27.7273,3
348.2680,73.0903,16.9097,925,-27.7273,3
347.9815,73.4260,16.5740,924,-27.6818,3
347.5676,73.3695,16.6305,923,-27.6364,3
346.7857,73.8577,16.1423,922,-27.5909,3
345.6555,73.9522,16.0478,926,-27.7727,3
344.5464,73.6006,16.3994,928,-27.8636,3
343.8961,73.3393,16.6607,926,-27.7727,3
343.0620,73.2238,16.7762,926,-27.7727,3
341.9489,72.2842,17.7158,924,-27.6818,3
340.9952,72.0259,17.9741,931,-28.0000,3
338.7957,72.3909,17.6091,932,-28.0455,3
336.9072,73.1947,16.8053,922,-27.5909,3
335.5397,73.1714,16.8286,924,-27.6818,3
334.1075,73.3912,16.6088,917,-27.3636,3
333.5002,72.7631,17.2369,920,-27.5000,3
333.4745,72.6918,17.3082,926,-27.7727,3
333.0554,72.6853,17.3147,926,-27.7727,3
332.1442,72.8449,17.1551,929,-27.9091,3
331.1626,72.7747,17.2253,930,-27.9545,3
329.9922,72.5821,17.4179,938,-28.3182,3
329.0517,72.9497,17.0503,934,-28.1364,3
328.1003,73.2873,16.7127,929,-27.9091,3
326.1645,73.2999,16.7001,927,-27.8182,3
325.2766,73.3558,16.6442,925,-27.7273,3
324.8139,72.9050,17.0950,930,-27.9545,3
323.3210,72.8697,17.1303,930,-27.9545,3
322.2985,72.9312,17.0688,927,-27.8182,3
321.4654,72.5935,17.4065,930,-27.9545,3
320.5698,72.7445,17.2555,928,-27.8636,3
319.5862,73.1234,16.8766,920,-27.5000,3
318.8968,73.4792,16.5208,913,-27.1818,3
318.5052,73.4490,16.5510,906,-26.8636,3
318.0573,73.5354,16.4646,902,-26.6818,3
316.7941,73.7112,16.2888,899,-26.5455,3
315.5831,74.0654,15.9346,896,-26.4091,3
314.6522,73.5774,16.4226,914,-27.2273,3
313.1521,73.3898,16.6101,928,-27.8636,3
311.3331,73.3700,16.6300,935,-28.1818,3
309.0581,73.0796,16.9204,935,-28.1818,3
306.9028,73.5212,16.4788,934,-28.1364,3
305.2392,73.3273,16.6727,936,-28.2273,3
304.0080,73.1485,16.8515,939,-28.3636,3
302.7021,72.9177,17.0823,939,-28.3636,3
301.9593,73.0552,16.9448,933,-28.0909,3
301.6793,73.4093,16.5907,928,-27.8636,3
300.8018,73.4608,16.5392,923,-27.6364,3
299.9567,73.6758,16.3242,916,-27.3182,3
299.4569,74.0051,15.9949,910,-27.0455,3
298.1674,74.2229,15.7771,901,-26.6364,3
296.4576,75.0031,14.9969,897,-26.4545,3
294.2532,75.1442,14.8558,897,-26.4545,3
292.1813,75.6571,14.3429,899,-26.5455,3
291.0642,75.0493,14.9507,903,-26.7273,3
290.2833,75.3264,14.6736,908,-26.9545,3
289.6383,75.0333,14.9667,909,-27.0000,3
288.3934,75.2917,14.7083,912,-27.1364,3
287.1128,75.7219,14.2781,916,-27.3182,3
286.0390,75.8211,14.1789,919,-27.4545,3
284.8362,76.0634,13.9366,929,-27.9091,3
284.1436,75.4596,14.5404,936,-28.2273,3
283.4048,75.0639,14.9361,946,-28.6818,3
282.2192,75.1229,14.8771,951,-28.9091,3
281.2443,75.3072,14.6928,959,-29.2727,3
280.1490,74.9537,15.0463,966,-29.5909,3
278.4869,75.1944,14.8056,974,-29.9545,3
276.5628,74.8511,15.1489,978,-30.1364,3
274.6708,75.4244,14.5756,998,-31.0455,3
272.9732,75.3570,14.6430,1013,-31.7273,3
271.2984,75.2373,14.7627,1024,-32.2273,3
269.6482,75.3664,14.6336,1033,-32.6364,3
268.1411,75.2876,14.7124,1034,-32.6818,3
267.3579,75.2512,14.7488,1046,-33.2273,3
266.5509,75.2285,14.7715,1053,-33.5455,3
265.8499,75.0351,14.9649,1058,-33.7727,3
264.7328,74.9490,15.0510,1058,-33.7727,3
263.0159,74.9657,15.0343,1065,-34.0909,3
261.0578,75.4269,14.5731,1068,-34.2273,3
259.0160,75.5556,14.4444,1074,-34.5000,3
257.0951,76.3065,13.6935,1089,-35.1818,3
254.9554,76.1001,13.8999,1105,-35.9091,3
253.1264,76.3398,13.6602,1109,-36.0909,3
252.2085,77.0295,12.9705,1098,-35.5909,3
251.2261,76.7759,13.2241,1088,-35.1364,3
250.0803,77.7301,12.2699,1076,-34.5909,3
249.2381,77.6506,12.3494,1088,-35.1364,3
248.5199,77.4465,12.5535,1104,-35.8636,3
247.0438,76.9934,13.0066,1117,-36.4545,3
245.2680,77.0614,12.9386,1132,-37.1364,3
243.8204,76.4155,13.5845,1153,-38.0909,3
242.4581,76.4273,13.5727,1179,-39.2727,3
240.6513,76.4807,13.5193,1166,-38.6818,3
238.6331,76.9446,13.0554,1158,-38.3182,3
