phi,theta,elev,mv,dbm,cal
358.9006,87.1686,2.8314,940,-28.4091,3
359.2462,87.3244,2.6756,945,-28.6364,3
359.3772,87.2476,2.7524,942,-28.5000,3
359.4274,87.1552,2.8448,947,-28.7273,3
359.3010,87.0444,2.9556,944,-28.5909,3
359.3503,86.9912,3.0088,944,-28.5909,3
359.3778,86.8992,3.1008,949,-28.8182,3
359.3251,86.7093,3.2907,946,-28.6818,3
359.4585,86.5048,3.4952,951,-28.9091,3
359.4536,86.5678,3.4322,950,-28.8636,3
359.2084,86.4913,3.5087,952,-28.9545,3
359.1707,86.5720,3.4280,945,-28.6364,3
359.2629,86.7308,3.2692,939,-28.3636,3
359.2916,87.0894,2.9106,935,-28.1818,3
359.0628,87.3108,2.6892,935,-28.1818,3
358.3932,87.6231,2.3769,930,-27.9545,3
357.2856,87.9058,2.0942,926,-27.7727,3
356.5944,88.0470,1.9530,922,-27.5909,3
356.6448,88.2378,1.7622,920,-27.5000,3
356.4722,88.2992,1.7008,919,-27.4545,3
356.3314,88.6153,1.3847,920,-27.5000,3
356.9305,88.6667,1.3333,920,-27.5000,3
357.0941,88.5090,1.4910,920,-27.5000,3
356.7124,88.6867,1.3133,920,-27.5000,3
356.7477,88.5889,1.4111,920,-27.5000,3
356.9570,88.3876,1.6124,924,-27.6818,3
356.8615,88.6128,1.3872,925,-27.7273,3
356.1888,88.3340,1.6660,928,-27.8636,3
355.4918,88.7078,1.2922,932,-28.0455,3
355.1008,88.8104,1.1896,935,-28.1818,3
354.3904,88.3020,1.6980,938,-28.3182,3
353.8480,88.0751,1.9249,943,-28.5455,3
353.3668,87.9685,2.0315,945,-28.6364,3
352.2738,88.0383,1.9617,946,-28.6818,3
350.8902,88.1133,1.8867,944,-28.5909,3
350.3463,87.9221,2.0779,947,-28.7273,3
350.2057,87.4313,2.5687,954,-29.0455,3
350.0134,87.4422,2.5578,958,-29.2273,3
349.3267,87.5717,2.4283,957,-29.1818,3
348.5420,87.8522,2.1478,955,-29.0909,3
348.4247,88.2659,1.7341,954,-29.0455,3
348.2428,88.1485,1.8515,959,-29.2727,3
348.2153,88.7442,1.2558,960,-29.3182,3
347.4239,88.5285,1.4715,964,-29.5000,3
346.0426,88.1945,1.8055,962,-29.4091,3
344.6416,88.2707,1.7293,957,-29.1818,3
343.2125,88.0204,1.9796,951,-28.9091,3
342.0400,87.9658,2.0343,950,-28.8636,3
341.0558,87.8492,2.1508,959,-29.2727,3
339.5949,87.7164,2.2836,961,-29.3636,3
337.9247,87.8765,2.1235,965,-29.5455,3
336.1136,87.9598,2.0402,969,-29.7273,3
334.2566,87.9743,2.0257,971,-29.8182,3
333.7959,87.6574,2.3426,982,-30.3182,3
333.2537,88.0239,1.9761,988,-30.5909,3
331.9853,88.0903,1.9097,991,-30.7273,3
330.5991,88.4914,1.5086,986,-30.5000,3
329.4967,88.4941,1.5059,994,-30.8636,3
328.3503,88.8151,1.1849,995,-30.9091,3
325.9086,88.9124,1.0876,988,-30.5909,3
323.3304,88.3633,1.6367,978,-30.1364,3
322.1343,88.4795,1.5205,972,-29.8636,3
321.5788,88.4077,1.5923,969,-29.7273,3
320.6950,89.1175,0.8825,962,-29.4091,3
319.7088,88.9636,1.0364,963,-29.4545,3
319.0310,89.2084,0.7916,971,-29.8182,3
317.8966,88.8855,1.1145,977,-30.0909,3
316.6860,89.1940,0.8060,976,-30.0455,3
315.4814,89.2801,0.7199,977,-30.0909,3
314.1042,89.1026,0.8974,981,-30.2727,3
312.7946,88.8989,1.1011,992,-30.7727,3
311.4437,88.4305,1.5695,1004,-31.3182,3
309.4355,88.1399,1.8601,1011,-31.6364,3
307.6889,88.1771,1.8229,1008,-31.5000,3
305.6384,88.3754,1.6246,1008,-31.5000,3
304.1440,88.3402,1.6598,1005,-31.3636,3
303.5447,88.0655,1.9345,1004,-31.3182,3
303.2399,88.3631,1.6369,1003,-31.2727,3
302.9858,88.5794,1.4206,1004,-31.3182,3
302.1453,88.4072,1.5928,1001,-31.1818,3
301.0067,88.0705,1.9295,1016,-31.8636,3
300.1810,88.1064,1.8936,1030,-32.5000,3
299.2473,88.7728,1.2272,1052,-33.5000,3
297.5849,88.8229,1.1771,1063,-34.0000,3
