phi,theta,elev,mv,dbm,cal
350.8694,83.6599,6.3401,1262,-41.3636,3
351.0943,83.8001,6.1999,1256,-41.0909,3
350.7541,82.9905,7.0095,1254,-41.0000,3
349.9911,82.0336,7.9664,1279,-42.1364,3
350.1501,82.2017,7.7984,1214,-39.1818,3
349.8398,81.3540,8.6460,1169,-37.1364,3
349.0188,80.0365,9.9635,1267,-41.5909,3
348.9964,79.8669,10.1332,1227,-39.7727,3
348.4942,79.4091,10.5909,1249,-40.7727,3
347.6274,78.2509,11.7491,1254,-41.0000,3
347.7519,77.9170,12.0830,1220,-39.4545,3
347.8188,77.3091,12.6909,1258,-41.1818,3
347.8122,77.2323,12.7677,1322,-44.0909,3
348.0097,77.1156,12.8844,1304,-43.2727,3
347.8322,76.4709,13.5291,1325,-44.2273,3
348.1345,76.4287,13.5713,1157,-36.5909,3
348.3192,76.4444,13.5556,1153,-36.4091,3
348.3667,76.5396,13.4604,1241,-40.4091,3
348.5189,76.5168,13.4832,1299,-43.0455,3
348.4254,75.9913,14.0087,1315,-43.7727,3
348.5166,75.7317,14.2683,1294,-42.8182,3
348.4978,75.8223,14.1777,1228,-39.8182,3
348.5586,75.9878,14.0122,1243,-40.5000,3
348.6830,75.9320,14.0680,1307,-43.4091,3
348.8391,75.7694,14.2306,1314,-43.7273,3
348.7901,75.7570,14.2430,1281,-42.2273,3
348.7701,75.8624,14.1376,1194,-38.2727,3
348.7701,75.9764,14.0236,1233,-40.0455,3
348.9324,75.8792,14.1208,1309,-43.5000,3
349.0968,75.7458,14.2542,1238,-40.2727,3
349.1856,75.9351,14.0649,1293,-42.7727,3
349.2962,75.9435,14.0565,1319,-43.9545,3
349.3029,75.9347,14.0653,1317,-43.8636,3
349.2453,75.8796,14.1204,1277,-42.0455,3
349.3115,75.7883,14.2117,1304,-43.2727,3
349.3929,76.0258,13.9742,1309,-43.5000,3
349.4404,76.0068,13.9932,1307,-43.4091,3
349.5031,75.9062,14.0938,1256,-41.0909,3
349.5984,75.9190,14.0810,1256,-41.0909,3
349.7654,75.9493,14.0507,1284,-42.3636,3
349.8877,75.6292,14.3708,1262,-41.3636,3
349.7603,75.0934,14.9066,1321,-44.0455,3
349.3996,74.8559,15.1441,1316,-43.8182,3
348.8566,74.5161,15.4839,1316,-43.8182,3
348.0961,73.6777,16.3223,1279,-42.1364,3
347.7875,73.1317,16.8683,1233,-40.0455,3
347.5490,72.7649,17.2351,1300,-43.0909,3
347.2368,72.1503,17.8497,1270,-41.7273,3
347.3888,72.0704,17.9296,1269,-41.6818,3
347.3969,72.2303,17.7697,1207,-38.8636,3
347.1233,72.1183,17.8817,1214,-39.1818,3
347.1006,72.3777,17.6223,1277,-42.0455,3
347.0084,72.3162,17.6838,1272,-41.8182,3
347.2926,72.2795,17.7205,1275,-41.9545,3
347.1595,72.0343,17.9657,1307,-43.4091,3
347.0817,71.8379,18.1621,1197,-38.4091,3
346.9729,71.7486,18.2514,1287,-42.5000,3
346.8723,71.9313,18.0687,1314,-43.7273,3
346.8539,71.9405,18.0595,1320,-44.0000,3
346.9354,71.8062,18.1938,1329,-44.4091,3
346.9083,71.7763,18.2237,1335,-44.6818,3
346.7549,71.3381,18.6619,1220,-39.4545,3
346.6461,71.3305,18.6695,1206,-38.8182,3
346.9943,71.6337,18.3663,1258,-41.1818,3
347.3702,71.5023,18.4977,1328,-44.3636,3
347.7639,71.6382,18.3619,1165,-36.9545,3
348.0101,71.7136,18.2864,1301,-43.1364,3
348.2173,71.6376,18.3624,1229,-39.8636,3
348.5529,71.5605,18.4395,1235,-40.1364,3
349.1165,71.7547,18.2453,1222,-39.5455,3
349.3628,71.7068,18.2932,1276,-42.0000,3
349.6113,71.7979,18.2021,1217,-39.3182,3
349.4293,71.7150,18.2850,1221,-39.5000,3
348.9424,71.6510,18.3490,1275,-41.9545,3
349.0048,71.9424,18.0576,1256,-41.0909,3
348.9189,71.7699,18.2301,1294,-42.8182,3
348.2256,71.8035,18.1965,1276,-42.0000,3
346.8386,71.6948,18.3052,1248,-40.7273,3
345.4128,71.8958,18.1042,1224,-39.6364,3
343.7411,72.1236,17.8764,1253,-40.9545,3
342.5267,72.0626,17.9374,1229,-39.8636,3
341.6073,72.1938,17.8062,1248,-40.7273,3
340.0655,73.0656,16.9344,1261,-41.3182,3
339.0418,73.2107,16.7893,1240,-40.3636,3
337.7233,72.7776,17.2224,1200,-38.5455,3
336.9449,73.4392,16.5608,1235,-40.1364,3
335.9803,73.6257,16.3743,1236,-40.1818,3
335.2301,73.5119,16.4881,1279,-42.1364,3
335.1544,74.1748,15.8252,1140,-35.8182,3
334.5970,73.9904,16.0096,1199,-38.5000,3
334.2691,74.0766,15.9234,1223,-39.5909,3
333.3186,73.9496,16.0504,1204,-38.7273,3
331.8965,73.8916,16.1084,1205,-38.7727,3
330.8395,73.6122,16.3878,1213,-39.1364,3
329.3051,73.6130,16.3870,1229,-39.8636,3
327.5746,73.4072,16.5929,1197,-38.4091,3
325.6720,73.0813,16.9187,1202,-38.6364,3
324.0942,72.6364,17.3636,1218,-39.3636,3
322.6852,72.6923,17.3077,1216,-39.2727,3
321.6609,72.6827,17.3173,1253,-40.9545,3
320.6429,72.7500,17.2500,1244,-40.5455,3
319.5245,72.7893,17.2107,1268,-41.6364,3
318.6100,72.9063,17.0937,1264,-41.4545,3
317.7706,72.8714,17.1286,1267,-41.5909,3
316.9641,73.2471,16.7529,1223,-39.5909,3
316.2529,73.1461,16.8539,1245,-40.5909,3
315.4978,73.8001,16.1999,1190,-38.0909,3
313.9852,73.0290,16.9710,1185,-37.8636,3
312.2346,73.0166,16.9834,1181,-37.6818,3
310.6907,72.8889,17.1111,1182,-37.7273,3
309.1781,72.7725,17.2275,1150,-36.2727,3
307.7728,72.6231,17.3769,1158,-36.6364,3
306.2816,72.4190,17.5810,1111,-34.5000,3
304.7047,72.1881,17.8119,1134,-35.5455,3
