phi,theta,elev,mv,dbm,cal
0.9513,70.5720,19.4280,958,45.6800,3
0.8571,70.6308,19.3692,957,45.7200,3
0.5877,70.8298,19.1702,958,45.6800,3
0.4387,70.6869,19.3131,958,45.6800,3
359.7104,70.8691,19.1309,955,45.8000,3
359.4792,70.9075,19.0925,955,45.8000,3
359.4772,70.8152,19.1848,956,45.7600,3
359.4567,70.8503,19.1497,953,45.8800,3
359.3485,70.8570,19.1430,952,45.9200,3
358.9991,70.6190,19.3810,951,45.9600,3
358.9504,70.3596,19.6404,949,46.0400,3
358.9121,70.1410,19.8590,949,46.0400,3
358.4881,70.0828,19.9172,948,46.0800,3
358.1344,70.1631,19.8369,949,46.0400,3
357.2179,70.2348,19.7652,950,46.0000,3
356.0976,70.1827,19.8173,954,45.8400,3
354.9425,70.3508,19.6492,957,45.7200,3
353.5900,70.7795,19.2205,956,45.7600,3
352.0211,71.0316,18.9684,959,45.6400,3
350.4722,70.6908,19.3092,964,45.4400,3
349.3057,70.4422,19.5578,964,45.4400,3
348.2821,70.6603,19.3397,970,45.2000,3
347.3618,70.9538,19.0462,974,45.0400,3
346.4464,71.0694,18.9306,975,45.0000,3
346.0075,71.0165,18.9835,975,45.0000,3
345.7392,70.8653,19.1347,972,45.1200,3
345.2836,70.8590,19.1410,971,45.1600,3
344.4420,70.8630,19.1370,974,45.0400,3
343.6979,70.5848,19.4152,974,45.0400,3
342.8093,70.2335,19.7665,969,45.2400,3
342.1541,70.1457,19.8543,965,45.4000,3
342.0439,69.8466,20.1534,966,45.3600,3
342.2936,69.7059,20.2941,972,45.1200,3
342.7771,69.4735,20.5265,968,45.2800,3
342.8597,69.6198,20.3802,967,45.3200,3
343.1305,69.6886,20.3114,961,45.5600,3
342.4349,69.6435,20.3565,959,45.6400,3
341.2523,69.3935,20.6065,952,45.9200,3
339.7832,69.3488,20.6511,948,46.0800,3
338.0896,69.0131,20.9869,947,46.1200,3
336.3347,68.8245,21.1755,948,46.0800,3
335.3884,68.9125,21.0875,951,45.9600,3
335.7328,68.6358,21.3641,950,46.0000,3
335.3233,68.1253,21.8747,947,46.1200,3
335.1597,67.8977,22.1023,943,46.2800,3
334.5873,67.9325,22.0675,942,46.3200,3
333.4454,68.1531,21.8469,942,46.3200,3
332.3571,67.9357,22.0643,938,46.4800,3
331.1327,67.7701,22.2299,932,46.7200,3
329.6170,67.1992,22.8008,919,47.2400,3
327.8654,66.9023,23.0977,909,47.6400,3
326.2365,66.5552,23.4448,907,47.7200,3
325.1098,66.7901,23.2099,906,47.7600,3
323.4505,67.2121,22.7879,914,47.4400,3
321.5662,67.2636,22.7364,917,47.3200,3
320.0064,67.0328,22.9672,920,47.2000,3
318.9466,67.3659,22.6341,924,47.0400,3
317.4523,67.2473,22.7527,931,46.7600,3
316.4001,66.9608,23.0392,937,46.5200,3
315.2627,66.2697,23.7303,940,46.4000,3
314.8900,66.5623,23.4377,940,46.4000,3
313.1905,66.8330,23.1670,939,46.4400,3
312.5222,66.6701,23.3299,937,46.5200,3
311.3466,66.5689,23.4311,939,46.4400,3
310.0394,66.2883,23.7117,938,46.4800,3
309.1784,66.1544,23.8456,935,46.6000,3
309.2253,65.6288,24.3712,932,46.7200,3
306.5471,65.6900,24.3100,931,46.7600,3
306.7045,65.5262,24.4738,929,46.8400,3
304.9314,65.5138,24.4862,924,47.0400,3
304.2175,65.5797,24.4203,924,47.0400,3
303.6835,66.0316,23.9684,919,47.2400,3
303.4483,66.3143,23.6857,919,47.2400,3
303.3279,65.8275,24.1725,922,47.1200,3
302.8106,65.7082,24.2918,922,47.1200,3
301.5349,65.8034,24.1966,924,47.0400,3
300.3007,65.7970,24.2030,925,47.0000,3
299.6074,66.2276,23.7724,929,46.8400,3
297.9866,66.1077,23.8923,936,46.5600,3
296.7751,65.9621,24.0379,947,46.1200,3
295.6900,66.0253,23.9747,958,45.6800,3
294.6179,66.0026,23.9974,951,45.9600,3
293.3352,66.2202,23.7798,967,45.3200,3
292.1129,66.2562,23.7438,967,45.3200,3
290.8839,66.4660,23.5340,968,45.2800,3
289.2602,66.8327,23.1673,966,45.3600,3
287.8790,66.8315,23.1685,962,45.5200,3
286.8191,66.7362,23.2638,949,46.0400,3
285.9061,66.9724,23.0276,960,45.6000,3
285.4417,67.0638,22.9362,962,45.5200,3
284.9924,66.8852,23.1148,963,45.4800,3
283.9554,67.0883,22.9116,963,45.4800,3
283.3749,66.7073,23.2927,958,45.6800,3
282.4863,67.0493,22.9507,970,45.2000,3
281.4664,67.2042,22.7958,971,45.1600,3
280.2808,67.2771,22.7229,976,44.9600,3
279.2241,67.1298,22.8702,981,44.7600,3
277.4687,67.1808,22.8192,986,44.5600,3
276.5634,67.2068,22.7932,993,44.2800,3
275.4013,67.2449,22.7551,1003,43.8800,3
274.4133,67.1331,22.8669,1010,43.6000,3
273.5263,66.5728,23.4272,1016,43.3600,3
273.0872,66.1147,23.8853,1023,43.0800,3
272.5053,65.6798,24.3202,1024,43.0400,3
271.5106,65.6799,24.3201,1053,41.8800,3
270.5534,66.1431,23.8569,1027,42.9200,3
269.5116,66.1899,23.8101,1027,42.9200,3
268.1035,66.3089,23.6911,1028,42.8800,3
267.7435,66.1351,23.8649,1029,42.8400,3
267.2891,65.9488,24.0512,1028,42.8800,3
266.1687,65.9603,24.0397,1033,42.6800,3
264.7323,65.7119,24.2881,1032,42.7200,3
263.2558,65.8319,24.1681,1030,42.8000,3
261.1926,65.8819,24.1181,1028,42.8800,3
259.2635,66.0712,23.9288,1024,43.0400,3
257.7867,66.0145,23.9855,1024,43.0400,3
256.5334,66.1380,23.8620,1022,43.1200,3
255.3300,66.3744,23.6256,1022,43.1200,3
254.3131,66.6026,23.3974,1022,43.1200,3
252.9353,66.5513,23.4487,1025,43.0000,3
251.9485,66.5798,23.4202,1029,42.8400,3
251.4800,66.4312,23.5688,1038,42.4800,3
250.7706,66.4459,23.5541,1043,42.2800,3
250.0969,66.3935,23.6065,1040,42.4000,3
249.3896,66.3088,23.6912,1042,42.3200,3
249.0582,66.0295,23.9705,1063,41.4800,3
248.8959,65.7675,24.2325,1075,41.0000,3
248.1027,65.7361,24.2639,1086,40.5600,3
247.3965,65.7858,24.2142,1085,40.6000,3
246.6330,65.5209,24.4791,1106,39.7600,3
247.2286,64.9970,25.0030,1121,39.1600,3
246.7256,64.9323,25.0677,1128,38.8800,3
245.3351,65.1357,24.8643,1134,38.6400,3
244.1104,65.0121,24.9879,1153,37.8800,3
243.5805,64.9440,25.0560,1181,36.7600,3
243.1207,64.9329,25.0671,1216,35.3600,3
242.8763,64.8636,25.1364,1208,35.6800,3
242.5532,65.2654,24.7347,1222,35.1200,3
240.5981,65.7541,24.2459,1233,34.6800,3
239.5164,65.9523,24.0477,1226,34.9600,3
238.3313,65.9659,24.0341,1219,35.2400,3
237.8606,65.3006,24.6994,1205,35.8000,3
237.0838,65.2922,24.7078,1224,35.0400,3
236.0940,65.4672,24.5328,1211,35.5600,3
235.4008,65.5728,24.4272,1257,33.7200,3
234.7757,65.6021,24.3979,1227,34.9200,3
232.7967,65.5147,24.4853,1221,35.1600,3
230.8620,65.4713,24.5287,1197,36.1200,3
229.2672,65.6411,24.3589,1123,39.0800,3
227.9424,65.9230,24.0770,1107,39.7200,3
227.3967,65.8942,24.1058,1165,37.4000,3
226.2716,66.0555,23.9445,1146,38.1600,3
225.0570,65.7663,24.2337,1136,38.5600,3
223.3622,65.5228,24.4772,1131,38.7600,3
222.0133,65.2034,24.7966,1136,38.5600,3
220.9294,65.0019,24.9981,1141,38.3600,3
