phi,theta,elev,mv,dbm,cal
358.2154,66.6450,23.3550,795,-11.4000,3
358.1252,66.5958,23.4042,794,-11.3600,3
358.2134,66.6432,23.3568,793,-11.3200,3
358.1931,66.6779,23.3221,795,-11.4000,3
358.1840,66.6643,23.3357,795,-11.4000,3
358.2937,66.6768,23.3232,794,-11.3600,3
358.3342,66.6711,23.3289,795,-11.4000,3
358.3849,66.6446,23.3554,795,-11.4000,3
358.3792,66.6654,23.3346,795,-11.4000,3
358.4142,66.6821,23.3179,794,-11.3600,3
358.3286,66.6632,23.3368,795,-11.4000,3
358.3916,66.5867,23.4133,794,-11.3600,3
358.3868,66.6163,23.3837,795,-11.4000,3
358.5108,66.5374,23.4626,796,-11.4400,3
358.5389,66.5370,23.4630,795,-11.4000,3
358.5299,66.4818,23.5182,795,-11.4000,3
358.4706,66.5291,23.4709,795,-11.4000,3
358.4644,66.5286,23.4714,796,-11.4400,3
358.4411,66.4652,23.5348,795,-11.4000,3
358.3259,66.3939,23.6061,795,-11.4000,3
358.4734,66.3234,23.6766,795,-11.4000,3
358.5069,66.3176,23.6824,796,-11.4400,3
358.6512,66.3674,23.6326,796,-11.4400,3
358.5899,66.3133,23.6867,796,-11.4400,3
358.5406,66.3606,23.6394,796,-11.4400,3
358.5658,66.2739,23.7261,796,-11.4400,3
358.5318,66.3263,23.6737,796,-11.4400,3
358.4767,66.2823,23.7177,795,-11.4000,3
358.2569,66.3649,23.6351,796,-11.4400,3
358.1856,66.2979,23.7021,796,-11.4400,3
358.0768,66.2220,23.7780,797,-11.4800,3
357.8970,66.1586,23.8414,796,-11.4400,3
357.4520,66.1732,23.8268,798,-11.5200,3
356.8697,66.1590,23.8410,799,-11.5600,3
356.5087,66.2200,23.7800,798,-11.5200,3
356.2007,66.1325,23.8675,799,-11.5600,3
355.7432,66.0718,23.9282,799,-11.5600,3
355.0885,66.0438,23.9562,800,-11.6000,3
354.4487,66.0053,23.9947,800,-11.6000,3
353.8855,66.0199,23.9801,800,-11.6000,3
353.1211,65.9347,24.0653,799,-11.5600,3
352.2419,66.0710,23.9290,800,-11.6000,3
351.3709,66.0986,23.9014,800,-11.6000,3
350.9127,66.0652,23.9348,801,-11.6400,3
350.4857,66.0468,23.9532,800,-11.6000,3
350.0444,65.9363,24.0637,799,-11.5600,3
349.3244,65.6657,24.3343,798,-11.5200,3
348.9666,65.7971,24.2029,797,-11.4800,3
348.6378,65.8847,24.1153,797,-11.4800,3
348.3802,65.9691,24.0309,797,-11.4800,3
348.2400,66.1549,23.8451,799,-11.5600,3
347.9991,66.3635,23.6365,798,-11.5200,3
346.8787,66.6477,23.3523,798,-11.5200,3
345.6459,66.5428,23.4572,796,-11.4400,3
344.2311,66.1126,23.8874,795,-11.4000,3
343.5085,65.5653,24.4347,794,-11.3600,3
342.6345,65.4740,24.5260,795,-11.4000,3
341.7544,65.3087,24.6913,795,-11.4000,3
340.9950,65.2738,24.7262,797,-11.4800,3
340.2709,65.5839,24.4161,799,-11.5600,3
339.9747,65.2094,24.7906,801,-11.6400,3
339.5468,65.3707,24.6293,805,-11.8000,3
338.4463,65.2143,24.7857,805,-11.8000,3
337.5192,64.9692,25.0308,805,-11.8000,3
336.4980,64.7666,25.2334,805,-11.8000,3
335.2422,64.4098,25.5902,807,-11.8800,3
334.3837,64.1485,25.8515,807,-11.8800,3
333.2106,64.1421,25.8579,806,-11.8400,3
332.2967,63.5839,26.4161,807,-11.8800,3
330.8877,63.3252,26.6748,807,-11.8800,3
329.8495,63.3175,26.6825,809,-11.9600,3
328.6825,63.1823,26.8177,811,-12.0400,3
328.1809,63.0059,26.9941,811,-12.0400,3
327.1662,63.1309,26.8691,811,-12.0400,3
326.0916,63.2286,26.7714,812,-12.0800,3
324.8947,63.0708,26.9292,812,-12.0800,3
323.6079,62.8408,27.1592,812,-12.0800,3
322.3904,62.9595,27.0405,812,-12.0800,3
321.5009,62.9505,27.0495,814,-12.1600,3
320.6631,62.9038,27.0962,814,-12.1600,3
319.9166,63.0452,26.9548,817,-12.2800,3
319.4357,63.3708,26.6292,818,-12.3200,3
319.0241,63.5976,26.4024,818,-12.3200,3
318.3376,63.9466,26.0534,821,-12.4400,3
317.7938,64.5357,25.4643,821,-12.4400,3
317.2937,65.3516,24.6484,821,-12.4400,3
